encoding,code,clean_code,description,source
CIE-9,36.1,361,Heart and great vessels procedures,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.1,3610,"Heart and great vessels procedures, not otherwise specified",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.11,3611,Insertion of total replacement heart,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.12,3612,Insertion of ventricular assist device,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.15,3615,Insertion of total replacement heart NEC,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.16,3616,Implantation of intracardiac pacemaker NEC,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.19,3619,Insertion of other cardiac assist device,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.2,362,Coronary bypass,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.29,3629,Coronary bypass NEC,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.3,363,Heart and great vessels device,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.31,3631,Insertion of intracoronary artery stent,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.32,3632,Insertion of other device into coronary artery,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.33,3633,Other percutaneous transluminal coronary angioplasty,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.34,3634,Atherectomy,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,36.39,3639,Coronary artery device NEC,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021J0ZZ,021J0ZZ,"Bypass Coronary Artery to Right Coronary Artery, Open Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021J3ZZ,021J3ZZ,"Bypass Coronary Artery to Right Coronary Artery, Percutaneous Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021J4ZZ,021J4ZZ,"Bypass Coronary Artery to Right Coronary Artery, Percutaneous Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021J7ZZ,021J7ZZ,"Bypass Coronary Artery to Right Coronary Artery, Via Natural or Artificial Opening Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021JXZZ,021JXZZ,"Bypass Coronary Artery to Right Coronary Artery, Via Natural or Artificial Opening Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021K0ZZ,021K0ZZ,"Bypass Coronary Artery to Left Coronary Artery, Open Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021K3ZZ,021K3ZZ,"Bypass Coronary Artery to Left Coronary Artery, Percutaneous Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021K4ZZ,021K4ZZ,"Bypass Coronary Artery to Left Coronary Artery, Percutaneous Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021K7ZZ,021K7ZZ,"Bypass Coronary Artery to Left Coronary Artery, Via Natural or Artificial Opening Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021KXZZ,021KXZZ,"Bypass Coronary Artery to Left Coronary Artery, Via Natural or Artificial Opening Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021L0ZZ,021L0ZZ,"Bypass Coronary Artery to Anterior Descending Branch, Open Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021L3ZZ,021L3ZZ,"Bypass Coronary Artery to Anterior Descending Branch, Percutaneous Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021L4ZZ,021L4ZZ,"Bypass Coronary Artery to Anterior Descending Branch, Percutaneous Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021L7ZZ,021L7ZZ,"Bypass Coronary Artery to Anterior Descending Branch, Via Natural or Artificial Opening Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021LXZZ,021LXZZ,"Bypass Coronary Artery to Anterior Descending Branch, Via Natural or Artificial Opening Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021M0ZZ,021M0ZZ,"Bypass Coronary Artery to Circumflex Coronary Artery, Open Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021M3ZZ,021M3ZZ,"Bypass Coronary Artery to Circumflex Coronary Artery, Percutaneous Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021M4ZZ,021M4ZZ,"Bypass Coronary Artery to Circumflex Coronary Artery, Percutaneous Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021M7ZZ,021M7ZZ,"Bypass Coronary Artery to Circumflex Coronary Artery, Via Natural or Artificial Opening Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021MXZZ,021MXZZ,"Bypass Coronary Artery to Circumflex Coronary Artery, Via Natural or Artificial Opening Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021N0ZZ,021N0ZZ,"Bypass Coronary Artery to Marginal Branch of Circumflex Coronary Artery, Open Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021N3ZZ,021N3ZZ,"Bypass Coronary Artery to Marginal Branch of Circumflex Coronary Artery, Percutaneous Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021N4ZZ,021N4ZZ,"Bypass Coronary Artery to Marginal Branch of Circumflex Coronary Artery, Percutaneous Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021N7ZZ,021N7ZZ,"Bypass Coronary Artery to Marginal Branch of Circumflex Coronary Artery, Via Natural or Artificial Opening Endoscopic Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,021NXZZ,021NXZZ,"Bypass Coronary Artery to Marginal Branch of Circumflex Coronary Artery, Via Natural or Artificial Opening Approach",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
