encoding,code,clean_code,description,source
icd-09-mc,398.91,39891,INSUFICIENCIA CARDIACA REUMATICA (CONGESTIVO),https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,402,402,ENFERM. CARDIACA HIPERTENSIVA,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,402.0,4020,ENFERM. CARDIACA HIPERTENSIVA MALIGNA,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,402.01,40201,ENF.CARDIACA HIPERTENSIVA MALIGNA-CON FALLO CARD. CONGESTIVO,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,402.1,4021,ENFERM. CARDIACA HIPERTENSIVA BENIGNA,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,402.11,40211,ENF.CARDIACA HIPERTENSIVA BENIGNA-CON FALLO CARD. CONGESTIVO,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,402.9,4029,ENFERM. CARDIACA HIPERTENSIVA SIN ESPECIFICAR,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,402.91,40291,ENF.CARDIACA HIPERTENSIVA SIN ESPECIFICAR. CON FALLO C.CONG.,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,404,404,ENFERM. CARDIACA Y RENAL HIPERTENSIVA,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,404,404,ENFERM. CARDIACA Y RENAL HIPERTENSIVA MALIGNA,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,404.01,40401,ENF.CARD.Y RENAL HIPERT.MALIGNA CON INSUFIC.CARDIACA CONGEST,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,404.02,40402,ENFER. CARD. Y RENAL HIPERTENSIVA MALIGNA CON INSUFIC. RENAL,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
icd-09-mc,404.03,40403,EN.CARD.Y RENAL HIPERT.MALIGNA CON INSUF.CARD.Y RENAL CONGES,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
