encoding,code,clean_code,description,source
CIE-9,37.8,3780,Insertion of pacemaker lead,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.81,3781,Replacement of pacemaker lead,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.82,3782,Insertion of pacemaker pulse generator,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.83,3783,Replacement of pacemaker pulse generator,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.85,3785,"Insertion of pacemaker, dual chamber",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.86,3786,"Replacement of pacemaker, dual chamber",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.87,3787,"Insertion of pacemaker, other",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.88,3788,"Replacement of pacemaker, other",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.94,3794,Insertion of cardiac resynchronization device,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-9,37.96,3796,Insertion of automatic cardioverter/defibrillator,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK0MZ,02HK0MZ,Insertion of pacemaker into chest subcutaneous tissue and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK3MZ,02HK3MZ,Insertion of pacemaker into chest muscle,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK4MZ,02HK4MZ,Insertion of pacemaker into chest muscle and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HKX6Z,02HKX6Z,Insertion of pacemaker into peritoneal cavity,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH604Z,0JH604Z,"Insertion of automatic implantable cardiac defibrillator, dual chamber, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH614Z,0JH614Z,"Insertion of automatic implantable cardiac defibrillator, single chamber, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH624Z,0JH624Z,"Insertion of automatic implantable cardiac defibrillator, biventricular, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH634Z,0JH634Z,"Insertion of automatic implantable cardiac defibrillator, other, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H60JZ,02H60JZ,Insertion of cardiac resynchronization device into chest subcutaneous tissue and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H63JZ,02H63JZ,Insertion of cardiac resynchronization device into chest muscle,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H64JZ,02H64JZ,Insertion of cardiac resynchronization device into chest muscle and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK3MZ,02HK3MZ,Insertion of pacemaker into chest muscle,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK4MZ,02HK4MZ,Insertion of pacemaker into chest muscle and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HKX6Z,02HKX6Z,Insertion of pacemaker into peritoneal cavity,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H603Z,02H603Z,Insertion of pacemaker into left atrium,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H604Z,02H604Z,Insertion of pacemaker into left ventricle,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H60JZ,02H60JZ,Insertion of pacemaker into chest subcutaneous tissue and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H63JZ,02H63JZ,Insertion of pacemaker into chest muscle,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H64JZ,02H64JZ,Insertion of pacemaker into chest muscle and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK0MZ,02HK0MZ,Insertion of pacemaker into chest subcutaneous tissue and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK3MZ,02HK3MZ,Insertion of pacemaker into chest muscle,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HK4MZ,02HK4MZ,Insertion of pacemaker into chest muscle and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02HKX6Z,02HKX6Z,Insertion of pacemaker into peritoneal cavity,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH604Z,0JH604Z,"Insertion of automatic implantable cardiac defibrillator, dual chamber, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH614Z,0JH614Z,"Insertion of automatic implantable cardiac defibrillator, single chamber, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH624Z,0JH624Z,"Insertion of automatic implantable cardiac defibrillator, biventricular, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,0JH634Z,0JH634Z,"Insertion of automatic implantable cardiac defibrillator, other, into chest subcutaneous tissue and fascia",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,02H60JZ,02H60JZ,Insertion of cardiac resynchronization device into chest subcutaneous tissue and fascia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
